"Ares Capital Corp","2017-03-31T00:00:00","ARCC","Ares Capital Corp"
"Applnc Rcycl Ct Amer","2017-03-31T00:00:00","ARCI","Applnc Rcycl Ct Amer"
"Arc Group Worldwide","2017-03-31T00:00:00","ARCW","Arc Group Worldwide"
"Aradigm Corp Cmn","2017-03-31T00:00:00","ARDM","Aradigm Corp Cmn"
"Ardelyx Inc Cmn","2017-03-31T00:00:00","ARDX","Ardelyx Inc Cmn"
"Approach Res. Inc","2017-03-31T00:00:00","AREX","Approach Res. Inc"
"Argos Therapeutics","2017-03-31T00:00:00","ARGS","Argos Therapeutics"
"American Railcar Ind","2017-03-31T00:00:00","ARII","American Railcar Ind"
"Ari Network Svcs","2017-03-31T00:00:00","ARIS","Ari Network Svcs"
"Ark Restaurants Cp","2017-03-31T00:00:00","ARKR","Ark Restaurants Cp"
"Alliance Resource Pt","2017-03-31T00:00:00","ARLP","Alliance Resource Pt"
"Aralez Pharm Inc","2017-03-31T00:00:00","ARLZ","Aralez Pharm Inc"
"Arena Pharmaceutical","2017-03-31T00:00:00","ARNA","Arena Pharmaceutical"
"Arrow Financial Corp","2017-03-31T00:00:00","AROW","Arrow Financial Corp"
"Arqule Inc","2017-03-31T00:00:00","ARQL","Arqule Inc"
"Arris Group Inc","2017-03-31T00:00:00","ARRS","Arris Group Inc"
"Array Biopharma Inc","2017-03-31T00:00:00","ARRY","Array Biopharma Inc"
"Artesian Res Cp A","2017-03-31T00:00:00","ARTNA","Artesian Res Cp A"
"Art S Way MFG Co I","2017-03-31T00:00:00","ARTW","Art S Way MFG Co I"
"Arotech Corp","2017-03-31T00:00:00","ARTX","Arotech Corp"
"Arrowhead Pharma","2017-03-31T00:00:00","ARWR","Arrowhead Pharma"
"Asb Bancorp Inc","2017-03-31T00:00:00","ASBB","Asb Bancorp Inc"
"Ascent Capital Group","2017-03-31T00:00:00","ASCMA","Ascent Capital Group"
"Flxsh Rl As Al Ix Fd","2017-03-31T00:00:00","ASET","Flxsh Rl As Al Ix Fd"
"Asta Funding Inc","2017-03-31T00:00:00","ASFI","Asta Funding Inc"
"Assembly Biosciences","2017-03-31T00:00:00","ASMB","Assembly Biosciences"
"Asml Hldg NY Reg","2017-03-31T00:00:00","ASML","Asml Hldg NY Reg"
"Ascena Retail Grp Cmn","2017-03-31T00:00:00","ASNA","Ascena Retail Grp Cmn"
"Ascendis Pharma Ads","2017-03-31T00:00:00","ASND","Ascendis Pharma Ads"
"Altisource Portfolio","2017-03-31T00:00:00","ASPS","Altisource Portfolio"
"Ameriserv Financial","2017-03-31T00:00:00","ASRV","Ameriserv Financial"
"Ameriserv Fin Cap","2017-03-31T00:00:00","ASRVP","Ameriserv Fin Cap"
"Astrotech Corp","2017-03-31T00:00:00","ASTC","Astrotech Corp"
"Astec Inds Inc","2017-03-31T00:00:00","ASTE","Astec Inds Inc"
"Asure Software","2017-03-31T00:00:00","ASUR","Asure Software"
"Amtech Systems Inc","2017-03-31T00:00:00","ASYS","Amtech Systems Inc"
"Ata Inc ADR","2017-03-31T00:00:00","ATAI","Ata Inc ADR"
"Amer First Mf Inv","2017-03-31T00:00:00","ATAX","Amer First Mf Inv"
"Alphatec Holdings","2017-03-31T00:00:00","ATEC","Alphatec Holdings"
"Athenahealth Inc","2017-03-31T00:00:00","ATHN","Athenahealth Inc"
"Athersys Inc","2017-03-31T00:00:00","ATHX","Athersys Inc"
"Atlanticus Hldg Cp","2017-03-30T00:00:00","ATLC","Atlanticus Hldg Cp"
"Ames Natl Corp","2017-03-31T00:00:00","ATLO","Ames Natl Corp"
"Atn International","2017-03-31T00:00:00","ATNI","Atn International"
"Atomera Inc","2017-03-31T00:00:00","ATOM","Atomera Inc"
"Atossa Genetics Inc","2017-03-31T00:00:00","ATOS","Atossa Genetics Inc"
"Atara Biotherap Cmn","2017-03-31T00:00:00","ATRA","Atara Biotherap Cmn"
"Atricure Inc","2017-03-31T00:00:00","ATRC","Atricure Inc"
"Atrion Corp","2017-03-31T00:00:00","ATRI","Atrion Corp"
"Astronics Cp","2017-03-31T00:00:00","ATRO","Astronics Cp"
"Antares Pharma Cmn","2017-03-31T00:00:00","ATRS","Antares Pharma Cmn"
"Air Transport","2017-03-31T00:00:00","ATSG","Air Transport"
"Attunity Ltd","2017-03-31T00:00:00","ATTU","Attunity Ltd"
"Activision Blizzard","2017-03-31T00:00:00","ATVI","Activision Blizzard"
"Auburn Natl Bncp I","2017-03-30T00:00:00","AUBN","Auburn Natl Bncp I"
"Audiocodes Ltd","2017-03-31T00:00:00","AUDC","Audiocodes Ltd"
"Aurinia Pharm Ord","2017-03-31T00:00:00","AUPH","Aurinia Pharm Ord"
"Aerovironment Inc","2017-03-31T00:00:00","AVAV","Aerovironment Inc"
"Avadel Pharmaceuticals Plc","2017-03-31T00:00:00","AVDL","Avadel Pharmaceuticals Plc"
"Aveo Pharmaceuticals","2017-03-31T00:00:00","AVEO","Aveo Pharmaceuticals"
"Broadcom Ltd","2017-03-31T00:00:00","AVGO","Broadcom Ltd"
"Avinger Inc Cmn","2017-03-31T00:00:00","AVGR","Avinger Inc Cmn"
"A V Homes Inc","2017-03-31T00:00:00","AVHI","A V Homes Inc"
